AÑO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2018,5,Antioquia,1147598,84.72,94.11,67.98,91.89,81.29,43.83,108.39,87.84,113.99,118.58,85.46,,,3.97,3.43,3.18,5.42,2.84,89.13,96.38,91.0,84.54,91.76,6.91,0.19,5.81,10.05,5.41,3.13,0.19,3.14,4.22,1.29
2018,8,Atlántico,521630,92.53,91.34,61.54,89.02,76.55,49.27,99.81,93.11,106.13,101.18,85.05,,,1.55,2.24,1.49,1.65,1.09,93.57,95.84,94.11,91.75,95.45,4.88,1.92,4.4,6.6,3.46,0.74,1.92,0.78,0.85,0.27
2018,11,"Bogotá, D.C.",1179282,78.71,96.51,70.65,97.81,85.97,56.01,105.2,90.75,110.39,108.9,93.18,,,1.65,1.9,1.35,2.01,1.53,98.02,98.1,98.65,97.92,96.32,0.33,0.0,0.01,0.07,2.15,0.33,0.0,0.24,0.57,0.21
2018,13,Bolívar,455784,92.71,98.6,69.74,97.25,79.38,44.17,112.48,113.41,124.42,112.82,82.2,,,2.75,3.65,2.35,3.19,2.4,90.31,95.5,91.26,87.38,91.04,6.93,0.86,6.39,9.43,6.56,3.82,0.86,3.88,4.43,2.05
2018,15,Boyacá,234116,83.54,96.54,70.66,92.85,89.25,57.96,106.84,93.36,106.31,115.66,97.02,,,2.07,1.88,1.28,2.99,2.07,92.59,97.87,95.4,88.48,92.75,5.34,0.26,3.32,8.54,5.18,1.69,0.26,1.37,2.59,1.01
2018,17,Caldas,162391,74.38,87.08,65.68,83.01,77.81,45.19,99.49,83.13,100.85,110.68,82.52,,,2.96,2.99,2.21,3.88,2.67,90.77,96.3,92.8,86.92,92.55,6.27,0.71,4.98,9.2,4.78,3.35,0.71,2.85,4.92,1.86
2018,18,Caquetá,98639,73.14,92.04,59.17,90.89,69.46,32.22,107.89,96.56,120.71,104.71,87.01,,,5.5,6.54,4.61,6.91,4.51,92.62,93.04,93.8,90.51,93.06,1.88,0.42,1.59,2.57,2.43,2.52,0.42,2.51,3.36,1.37
2018,19,Cauca,301714,83.72,83.17,55.16,84.55,66.21,33.58,100.03,92.72,108.43,103.6,77.45,,,2.58,2.25,1.72,3.77,2.89,90.33,96.83,91.4,87.07,91.0,7.09,0.92,6.88,9.16,6.11,0.97,0.92,0.81,1.52,0.43
2018,20,Cesar,288411,101.41,90.73,58.81,87.8,71.27,39.94,101.99,103.52,113.9,99.55,75.09,,,3.98,5.24,3.73,4.45,2.51,90.35,93.89,91.51,87.27,91.94,5.68,0.87,4.76,8.28,5.56,1.24,0.87,1.06,1.7,0.8
2018,23,Córdoba,386239,87.95,94.72,58.31,90.71,78.21,43.56,108.32,104.29,115.57,111.83,85.17,,,2.23,2.99,1.62,2.9,2.15,93.81,96.43,95.03,91.71,93.2,3.96,0.58,3.34,5.39,4.65,2.89,0.58,2.97,3.45,1.54
2018,25,Cundinamarca,547875,92.49,97.91,67.0,98.58,86.4,50.34,108.72,97.31,114.0,115.94,88.18,,,2.89,3.59,2.09,3.89,2.33,92.11,95.67,94.56,88.31,92.64,5.0,0.74,3.35,7.8,5.03,2.11,0.74,1.6,3.34,1.14
2018,27,Chocó,143975,79.81,80.95,55.99,81.74,51.12,23.21,98.11,96.95,119.23,85.85,67.01,,,3.16,3.5,2.62,4.2,2.85,87.71,96.44,87.62,83.82,91.67,9.13,0.06,9.75,11.98,5.48,1.29,0.06,1.91,0.72,0.24
2018,41,Huila,242238,85.04,94.28,70.97,92.4,81.28,44.75,106.28,99.63,111.57,112.77,83.25,,,4.21,3.38,2.76,6.5,3.71,86.1,96.34,90.22,77.8,87.17,9.69,0.28,7.02,15.7,9.11,2.63,0.28,2.49,3.78,1.27
2018,44,La Guajira,237991,77.72,90.55,66.37,90.09,56.54,23.25,103.72,115.1,129.69,91.59,51.38,,,2.77,3.6,2.45,3.37,1.6,93.01,95.89,92.72,92.04,94.96,4.22,0.52,4.83,4.58,3.44,4.75,0.52,5.79,4.1,1.29
2018,47,Magdalena,317652,95.21,97.69,62.36,91.7,73.92,40.66,115.66,118.54,125.19,117.16,86.63,,,3.26,3.63,2.93,3.7,2.94,93.58,95.71,94.09,92.11,94.38,3.15,0.66,2.98,4.19,2.67,1.7,0.66,1.71,1.96,0.65
2018,50,Meta,218707,90.3,92.51,65.24,91.04,78.31,43.29,104.13,93.06,111.08,108.07,84.91,,,4.47,5.8,3.53,5.75,3.52,89.65,94.04,92.43,84.52,91.3,5.88,0.15,4.04,9.72,5.18,0.89,0.15,0.69,1.43,0.54
2018,52,Nariño,314579,67.88,84.54,49.04,81.82,69.66,35.6,98.98,79.38,107.7,105.88,74.99,,,1.34,0.92,0.79,2.12,1.38,95.42,98.52,96.33,93.44,96.07,3.24,0.56,2.88,4.44,2.55,2.94,0.56,2.55,4.29,1.52
2018,54,Norte de Santander,307526,93.58,91.62,65.88,91.76,74.5,40.56,106.28,96.89,112.39,110.57,87.61,,,3.95,4.92,3.36,4.7,3.49,90.55,94.68,92.65,86.7,90.17,5.5,0.4,3.99,8.6,6.34,1.41,0.4,1.35,1.94,0.81
2018,63,Quindio,83383,76.15,98.35,67.93,95.26,89.06,54.66,110.83,97.88,111.74,122.46,93.1,,,4.17,4.71,3.18,5.39,3.45,89.17,94.86,92.3,84.34,90.52,6.67,0.43,4.53,10.27,6.02,1.08,0.43,0.86,1.66,0.63
2018,66,Risaralda,157477,86.17,98.4,69.6,96.23,84.42,49.19,114.09,99.71,116.3,123.34,98.13,,,4.23,4.81,3.41,5.53,2.96,88.74,94.23,91.34,83.68,91.25,7.04,0.96,5.25,10.79,5.79,0.76,0.96,0.82,0.96,0.3
2018,68,Santander,401463,97.79,96.06,67.51,94.88,83.83,49.63,108.08,101.94,111.16,113.07,94.05,,,3.2,4.24,2.41,4.1,2.7,89.46,95.31,93.15,83.61,89.96,7.34,0.45,4.44,12.29,7.35,1.73,0.45,1.43,2.71,0.71
2018,70,Sucre,201443,98.08,95.99,72.16,95.33,75.31,41.67,110.42,132.2,121.35,107.2,80.24,,,2.78,3.42,2.16,3.62,2.24,87.36,95.24,88.93,82.25,89.03,9.86,1.33,8.91,14.13,8.73,1.28,1.33,1.28,1.73,0.77
2018,73,Tolima,255496,83.88,98.54,72.09,98.2,83.51,46.72,110.66,104.33,120.25,115.05,83.85,,,3.02,3.54,2.37,3.89,2.48,90.56,96.11,92.92,86.06,92.04,6.42,0.35,4.71,10.05,5.48,0.84,0.35,0.84,1.11,0.41
2018,76,Valle del Cauca,861316,79.27,80.36,53.98,76.19,71.45,40.2,91.87,78.67,92.92,101.16,77.31,,,3.26,3.83,2.74,3.99,2.49,89.22,95.67,91.63,84.65,91.17,7.52,0.5,5.63,11.36,6.34,1.1,0.5,1.06,1.44,0.59
2018,81,Arauca,60962,77.02,94.93,61.66,93.81,74.65,36.66,112.21,103.46,129.12,110.95,76.73,,,2.63,2.83,2.21,3.32,2.35,97.29,97.17,97.79,96.68,96.8,0.08,0.0,0.0,0.0,0.86,4.46,0.0,4.08,6.53,1.91
2018,85,Casanare,92859,96.81,93.05,71.43,91.01,78.86,44.09,104.3,96.28,108.97,111.24,83.02,,,2.69,3.08,2.12,3.47,2.31,90.77,96.36,93.26,85.72,92.33,6.54,0.57,4.62,10.81,5.36,2.0,0.57,2.01,2.84,0.63
2018,86,Putumayo,80972,75.0,84.28,45.66,80.71,71.04,36.59,96.55,84.08,101.34,104.24,75.88,,,5.21,4.86,3.59,7.37,5.27,86.88,94.45,90.49,80.59,87.1,7.9,0.68,5.93,12.04,7.63,2.15,0.68,1.78,3.24,1.24
2018,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",10853,67.34,93.4,68.69,92.96,84.23,50.9,99.93,92.31,105.6,108.41,73.04,,,1.97,1.61,2.47,1.8,0.71,93.79,98.39,94.93,90.7,95.51,4.25,0.0,2.6,7.5,3.78,2.31,0.0,2.21,3.35,0.51
2018,91,Amazonas,22257,81.13,81.46,45.99,78.33,61.51,31.51,95.04,83.23,103.7,96.52,73.54,,,4.87,5.31,3.09,7.18,6.02,91.17,94.63,91.95,89.46,89.98,3.96,0.07,4.95,3.36,4.0,4.12,0.07,4.55,4.61,1.49
2018,94,Guainía,15766,81.64,62.28,46.4,61.95,28.93,6.79,77.05,83.26,96.08,68.66,38.72,,,7.14,9.88,5.53,9.82,5.47,77.64,84.88,77.82,72.84,85.69,15.22,5.25,16.65,17.34,8.84,5.08,5.25,5.91,4.1,2.09
2018,95,Guaviare,21118,55.7,84.61,42.44,82.1,66.5,31.14,105.08,75.29,122.45,106.43,73.13,,,3.36,4.01,2.58,4.63,2.63,87.78,94.55,90.49,81.78,88.75,8.86,1.44,6.93,13.59,8.62,3.46,1.44,3.46,4.47,1.75
2018,97,Vaupés,15363,61.64,50.79,22.82,51.12,30.54,11.35,59.79,37.18,74.44,55.61,39.76,,,3.88,4.93,3.13,4.93,4.65,85.38,93.43,85.37,83.84,85.44,10.74,1.64,11.5,11.22,9.91,2.26,1.64,2.58,2.33,0.75
2018,99,Vichada,32951,78.13,53.74,30.74,56.68,24.06,9.36,61.92,53.68,90.98,43.77,24.53,,,7.14,7.39,6.52,8.99,5.97,75.25,92.61,70.72,78.71,88.06,17.6,0.0,22.76,12.3,5.97,5.62,0.0,7.28,3.63,1.01
